url,name,name_ja,name_ja_kana,translation,alternate_names,habitat,diet,appearance,behavior,interactions,body,origin,legends,other_forms,critical_weakness
https://yokai.com/kappa/,Kappa,河童,かっぱ,river child,"kawatarō, kawako","rivers, lakes, ponds, waterways, cisterns, wells; found throughout Japan",omnivorous; prefers cucumbers and human entrails,"Kappa are aquatic, reptilian humanoids who inhabit the rivers and streams flowing over Japan. Clumsy on land, they are at home in the water, and thrive during the warm months. Kappa are generally the size and shape of a human child, yet despite their small stature they are physically stronger than a grown man. Their scaly skin ranges from a deep, earthy green to bright reds and even blue. Kappa bodies are built for swimming; they have webbed, thumbless hands and feet, a turtle-like beak and shell, and an elastic, waterproof skin that reeks of fish and is said to be removable. Other inhuman traits include three anuses that allow them to pass three times as much gas as humans, and forearms attached to one another inside of their shells—pulling on one arm lengthens it while the other arm contracts. But their most distinguishing characteristic is a dish-like depression that lies on top of their skulls. This dish is the source of a kappa’s power and must be kept filled with water at all times. Should the water be spilled and the dish dry up, the kappa will be unable to move. It may even die.","While younger kappa are frequently found in family groups, adult kappa live solitary lives. However, it is common for kappa to befriend other yōkai and sometimes even people. Possessed of a keen intelligence, kappa are one of the few yōkai able to learn human languages. They are highly knowledgeable about medicine and the art of setting bones. According to legend, friendly kappa taught these skills to humans. For fun, they love causing mischief, practicing martial arts like sumo wrestling, and playing games of skill like shogi. Kappa are proud and stubborn, but also fiercely honorable; they never break a promise. Kappa will eat almost anything, but they are particularly fond of two foods: cucumbers and raw innards—particularly human anuses.","Kappa are revered in Shinto as a kind of water god. It is not uncommon to see offerings of cucumbers made at riverbanks by devout humans. In return, kappa help people by irrigating fields, befriending lonely children, or competing with adults in sports and games.","Kappa can also be crass and dangerous. Lakes and rivers where they live are often marked with warning signs. Kappa particularly despise cows and horses, and will attack the animals for no reason at all. Mischievous by nature, they loudly pass gas in public and love to peek up women’s kimonos. Sometimes their mischief turns violent. Kappa have been known to kidnap or rape swimming women, and kill people. A kappa’s preferred method of attack is to drown its victims, or bite them to death under water. Kappa also devour humans alive. Usually they go for the rear end to get at the shirikodama, a mythical ball of flesh located just inside the anus.
In the water, there is no escape for anyone who crosses a kappa. On land, however, it is possible to outwit one; the honorable kappa will feel obliged to return a bow. If it can be tricked into bowing so low that the water in its dish spills out, it can be overcome. Once bested, kappa have been made to swear loyalty and friendship to their victor for the rest of their lives.",,,,
https://yokai.com/garappa/,Garappa,ガラッパ,がらっぱ,a regional corruption of kappa,gawappa,"rivers, lakes, ponds, streams; found only on Kyūshū",omnivorous; same as the kappa,"Garappa are river spirits found on the islands of Kyūshū in southern Japan. Close relatives of kappa, they resemble them in many ways. The two are often confused with each other, although there are a number of important differences. A garappa’s limbs are much longer than those of a kappa. When garappa sit down their knees rise high above their heads, unlike the stubby kappa’s knees. Because of these longer limbs, garappa are taller than kappa when standing upright. Garappa also have slightly longer and more streamlined faces.","Garappa are shyer and more elusive than kappa. They tend to avoid populated areas and instead, wander back and forth between the rivers and mountains. Garappa live in smaller groups, or by themselves. Because of their shyness, garappa are more often heard than seen. They have two distinctive calls: “hyō hyō” and, “foon foon foon.”","While garappa encounters are much rarer than kappa, they share a similar relationship with humankind. Extremely fond of pranks and mischief, garappa love to surprise people on mountain paths, or trick travelers into losing their way. Like kappa, garappa are physically stronger than humans and are easily capable of overpowering grown men larger than themselves. They are extremely fond of sumo wrestling, at which they are highly skilled. Garappa are also sexually aggressive and are known to assault and rape women.","Despite their reputation as tricksters, garappa are absolutely dedicated to keeping their word. When captured or bested in contest by humans, they can be forced by their victors to promise to stop drowning people, playing pranks, making noises in the woods, or similar concessions. Over the centuries, Shinto sects who revere garappa have worked to earn promises from them to cease doing evil. As a result garappa attacks have become less and less common over time. Garappa occasionally even serve humans by catching fish or planting rice fields, and they are credited with teaching the ancient people of Kyūshū the art of making poultices.",,,,
https://yokai.com/hyousube/,Hyōsube,兵主部,ひょうすべ,onomatopoeic; written with characters connoting warfare,"hyōsue, hyōsubo, hyōsunbo, hyōsunbe",rivers and streams; found primarily on Kyūshū and in West Japan,omnivorous; prefers eggplants,"Hyōsube are squat, hairy humanoids found mostly in the southern and western parts of Japan. Cousins of kappa and garappa, they are more savage and belligerent. Physically they are short, with bald scalps, sharp claws, and a mouth full of sharp teeth which are prominently visible due to the malicious smile they wear. Their skins are covered with a pelt of thick, greasy hair that gathers dust, oil, and dirt. This repulsive pelt constantly sheds wherever they go. Their name is said to come from the “hyo hyo” call that they make. However, written in kanji, the characters have a martial connotation.","Hyōsube live near rivers, where they catch wild fish and generally keep away from humans. Their favorite food is eggplant—they are capable of devouring whole patches in the blink of an eye. Like kappa, hyōsube love mischief and hate horses. They are generally more violent and malicious than their cousins, but they retain a strong sense of honor.","Hyōsube are capricious, insolent, and extremely dangerous. Simply looking at a hyōsube can cause a terrible and contagious fever, which can spread and turn into an epidemic. Hyōsube cackle with an evil laughter which is also contagious; an unlucky person who hears a hyōsube laugh, and who laughs himself, will be struck with fever and die within hours.","A hyōsube’s thick hair builds up with dirt and grime; they love nothing more than to sneak into houses at night and slip into the bathtub. When a hyōsube finds a bathtub it likes it often returns every night, leaving behind a thick scum of greasy body hair and a horrible stench. Once, the unlucky owner of such a house emptied the bathwater and threw out the hair and grease. This angered the hyōsube so much that it slaughtered the owner’s horse the next night. When another unfortunate dumped his bathtub and some hyōsube hairs accidentally landed on a nearby horse, the animal promptly dropped dead. In yet another tale, a woman spied on a hyōsube ravaging her eggplant garden; the next morning her entire body had turned purple. She died soon after.
Hyōsube are occasionally honored at local Shinto shrines, usually worshiped as gods of war for some military service performed for villagers in the past. Farmers living in areas inhabited by hyōsube often leave offerings of the first eggplants of the harvest in hopes that the hyōsube will spare their fields for the remainder of the year. Those who do not leave offerings can find their fields trampled.",,,,
https://yokai.com/kirin/,Kirin,麒麟,きりん,none; based on the Chinese name for the same creature,,areas ruled by a wise and benevolent leader,purely vegetarian; never harms another creature,"The kirin is one of the rarest, most awesome and powerful creatures ever known in East Asia. It is a regal animal, holy and highly revered. The kirin is often considered a god in its own right. Resembling a deer with scales like a dragon’s covering its body, the kirin is a chimerical beast. It has a tail like an ox and a flowing mane. Its body and mane are covered in brilliant, holy fire and its face is the picture of utter serenity.","A gentle animal, the kirin never eats the flesh of other beings, and takes great care never to tread on any living thing, even insects. When it walks, it does so without trampling a single blade of grass. Its beauty is only surpassed by its rarity; the unicorn-like kirin only appears during periods of world peace. They are seen only in lands owned by wise and benevolent people and during the reigns of noble and enlightened rulers, where they herald a golden age. Although kirin never harm good and pure souls, they are swift and fierce to attack if threatened, breathing holy fire from their mouths.","Because kirin are beasts of purity and goodness, they have been used in carvings and paintings as symbols of these virtues since early times. They are also seen as symbols of justice and wisdom. Because of their holiness, images of kirin frequently adorn temples and shrines. Omens of great luck and fortune, the appearance of a kirin is believed to be a sign of the arrival of a great leader or a wise man.","Giraffes are also called kirin in Japanese, named for the traits they share with the holy kirin. Their long legs, scale-like pattern, gentle nature, and the knobs on their heads must have reminded the first Japanese to see a giraffe of this most sacred of beasts.","Kirin were introduced to Japan via Chinese myths and legends where they are known as qilin. Over time, the Chinese and Japanese version diverged into slightly different creatures. In Japan, the kirin is considered to be the most powerful and sacred beast of all, surpassing the hōō and tatsu.",,,
https://yokai.com/houou/,Hōō,鳳凰,ほうおう,none; based on the Chinese name for the same creature,,paulownia trees; only appear in lands blessed by peace and prosperity,only bamboo seeds,"Hōō are beautiful, peaceful, phoenix-like creatures honored across East Asia and worshiped as divine spirits. They are described as having the beak of a rooster, the jaw of a swallow, the head of a pheasant, the neck of a snake, the back of a tortoise, the legs of a crane, and the tail of a peacock. Brilliantly colored with the five colors of the Chinese elements—white, black, red, yellow, and blue—they have five distinctive tail feathers.","Hōō are creatures of utter peace and never cause harm to other living things. They eat only bamboo seeds, and nest only in paulownia trees. When a hōō flies, it is said that the wind stops, dust settles, and birds and insects grow quiet. Because of their purity, they appear only in lands blessed with peace, prosperity, and happiness. They flee to the heavens during times of trouble. The appearance of a hōō is an extremely good omen, said to signify the beginning of a new era.","The hōō is a popular motif in Japanese paintings, crafts, kimonos, and as designs on temples and shrines. As a symbol, it represents fire, the sun, and the imperial family. It also stands for the virtues of duty, propriety, faith, and mercy. Its five colors represent the five elements of wood, fire, earth, metal, and water.","The hōō is one of the most revered and holiest animals in Japan. Second only to the kirin in terms of power, it is the most sacred bird in the Japanese pantheon.","Hōō come from Chinese mythology, where they are known as fenghuang. Originally they were considered to be two distinct birds: the male hō (feng) and the female ō (huang), symbolizing yin and yang and the duality of the universe. Eventually the two creatures merged into one and their combined name was used. The combined creature is still considered to be female, and is often partnered with the tatsu, which is considered to be male.",,,
https://yokai.com/tatsu/,Tatsu,龍,たつ,dragon,"ryū, ryō, wani; known by many specific individual names","rivers, waterfalls, mountains, lakes, seas, and palaces deep in the ocean",capable of eating anything,"Tatsu, Japanese dragons, are similar in appearance to the dragons of China and the rest of the world. They have long, scaled bodies, serpentine tails, sharp teeth and claws, and often have horns, antlers, spines, and beards. Some tatsu have multiple limbs or heads. Many disguise themselves as humans and are never seen in their natural forms.","Tatsu are strongly connected to water—be it rain, rivers, seas, or oceans—and are considered to be water gods. They live in splendid palaces at the bottom of deep seas, or in other secluded places. They usually live far from human-inhabited areas, but occasionally make their homes near Buddhist temples. Like Western dragons, they hoard vast amounts of treasure and keep powerful magical artifacts in their homes. Many are great villains, tormenting mankind out of spite, while others are pure and kind, offering their wisdom and power to those seeking it. Some tatsu even allow worthy heroes to visit them, and lend their magical items to noble warriors.","Tatsu rarely concern themselves with human affairs unless it affects them directly. They accept worship and sacrifices from humans; many temples maintain the holy grounds of local dragons, and countless Japanese make pilgrimages to holy mountains inhabited by tatsu. Tatsu receive prayers for rain or for protection from floods, and other water-related requests. Fireworks festivals, ritual dragon dances, and other local celebrations honor these dragon gods all over the Japanese islands.",,"Tatsu are one of the oldest supernatural creatures known in Japan. The first recorded stories go back to the earliest written accounts of Japanese history and mythology, the Kojiki and the Nihongi. Over the centuries, tales of the Chinese long and Indian naga were incorporated into Japanese mythology. Today’s Japanese dragons are an amalgamation of these imported myths merged with the indigenous water deities of prehistoric Japan.","The Japanese imperial family, the oldest hereditary monarchy in the world, is supposedly descended from dragons (as well as other gods). The monarchy is said to have been founded in 660 BCE by Emperor Jimmu, the legendary first ruler of Japan. His father was the son of Toyotama hime, who in turn was the daughter of Ryūjin, the dragon god of the sea. So by tradition the emperor of Japan is the direct descendant of a dragon.",,
https://yokai.com/baku/,Baku,獏,ばく,none; based on the Chinese name for the same creature,,deep in thick forests,bad dreams,"The baku is a strange, holy beast that has the body of a bear, the head of an elephant, the eyes of a rhinoceros, the tail of an ox, and the legs of a tiger. Despite their monstrous appearance, baku are revered as powerful forces of good and as one of the holy protectors of mankind.","Baku watch over humans and act as guardian spirits. They feed on the dreams of humans—specifically bad dreams. Evil spirits and yōkai fear baku and flee from baku-inhabited areas. Because of this, health and good luck follow baku wherever they go.","The baku’s written name and image have been used as symbols of good luck in talismans and charms throughout Japanese history. In the old days, it was common to embroider the kanji for baku onto pillows in order to keep away bad dreams, sickness, and evil spirits. Fearsome baku images are commonly carved into the pillars above temple doors and on the columns supporting temple roofs. Baku are one of only a handful of holy creatures honored in this manner.","Today, the Japanese word baku also refers to the tapir. The animal was named for its uncanny resemblance to this holy chimerical beast.","Legend has it that when the world was new and the gods were making the animals, the baku was put together from the leftover bits and pieces at the end of creation. That explains its bizarre appearance, and why it is considered a favorite of the gods.",,,
https://yokai.com/komainu/,Koma inu,狛犬,こまいぬ,Goryeo (an ancient Korean dynasty) dog,shishi (“stone lion”); refers only to the open-mouthed koma inu,"shrines, temples, and holy areas",carnivorous,"Koma inu are noble, holy animals, usually employed as guardians of sacred sites. They can range in size from a small dog to the size of a lion and—due to their resemblance to both creatures—are often called lion dogs in English. They have thick, curly manes and tails, powerful, muscular bodies, and sharp teeth and claws. Some koma inu have large horns like a unicorn on their heads. However, many are hornless.","Koma inu are fierce and noble beasts. They act like watchdogs, guarding gates and doorways and preventing the wicked from entering. They live together in male-female pairs and are always found together. In their pairs, the female usually guards those living inside, while the male guards the structure itself.","Koma inu are a ubiquitous symbol at holy sites in Japan. Stone koma inu statues are almost always found at the entrance to Shinto shrines, often with more inside the shrine guarding the important buildings. The pairs are usually carved in two poses: one with mouth open in a roaring position, and one with mouth closed. Symbolically, these creatures represent yin and yang, or death and life. The open-mouthed koma inu represents the sound “a,” while the closed-mouthed koma inu represents the sound “un.” These sounds are the Japanese transliteration of the Sanskrit “om,” a mystical syllable which symbolizes the beginning, middle, and end of all things. A Western analogy would be alpha and omega.",,"Koma inu were brought to Japan via Korea, which in turn received them from China, which in turn received them from India. China is where they first began to symbolize the Dharmic philosophies of Indian religions. In China these dogs are called shishi, which means “stone lion.” This name is often used in Japan as well, though it only refers to the one with its mouth open. The other one, and the two of them collectively, are always referred to as koma inu.",,,
https://yokai.com/nozuchi/,Nozuchi,野槌,のづち,wild mallet (named for its mallet-like shape),,fields and grasslands; found all across Japan,"carnivorous; usually feeds on small animals like rats, mice, rabbits, birds","Nozuchi are one of the earliest recorded yōkai in Japan. They are powerful and ancient snake-like spirits of the fields, known for their bizarre shape and habits. Short, fat creatures shaped like mallets, Nozuchi are about fifteen centimeters in diameter and just over one meter long. They have no eyes, nose, or any other facial features save for a large mouth located on the tops of their heads, pointing towards the sky. Their bodies are covered in a bristly fur, much like a hairy caterpillar.","Nozuchi make their homes inside of large trees, particularly on the tops of hills. They are slow movers, and get about by rolling and tumbling down slopes, then slowly inching their way back up. Their usual diet is wildlife—mice, rabbits, squirrels, and other small animals—however, they are able to eat things much larger than themselves. In Nara, they are known to feed on deer. They can devour a deer in a single bite, pulling the whole animal into their small, stumpy frame.","Nozuchi have been known to attack humans who come near their nests, rolling downhill and snapping at their feet. Their bites are dangerous, resulting in terrible, mangled wounds which quickly lead to a high fever and death. A person who is touched or even merely seen by a tumbling nozuchi can contract this fever and die. Fortunately, nozuchi attacks are easily avoided. Stick to higher ground where they cannot tumble, or climb a tree if no other high ground is available.",,,,"Nozuchi can transform into a humanoid shape, though they rarely are seen in this form. They take the shape of a human priest, but with no eyes, nose, hair, or ears. The only feature on the head is a large, gaping mouth pointing upwards towards the sky. Wicked monks who are banished from their temples to live in the wilds sometimes gradually turn into nozuchi. These nozuchi are more likely to maintain a humanoid form than a serpentine one. Care should be taken not to confuse a shape-changed nozuchi with a nopperabō, which has a similar appearance but poses a different threat.",
https://yokai.com/onibi/,Onibi,鬼火,おにび,demon fire,,"grasslands, forests, watersides, graveyards",life energy,"One of the more dangerous types of fireball yōkai, onibi are a beautiful, but deadly phenomenon. Their name means “demon fire,” and they certainly earn that moniker. They look like small balls of flame, usually blue or blue-white (red and yellow onibi are less common), and appear in groups of twenty to thirty orbs. The orbs can range in size from three to thirty centimeters, and usually float around at eye-level. They appear in places surrounded by nature—most often during the spring and summer months, and particularly on rainy days.",,"Onibi do not create much heat, but the orbs possess a different danger. Living creatures that draw too close are swarmed by dozens of orbs, which drain away the life force from their victims. Soon nothing is left but a dead husk on the ground. During the night, onibi are often mistaken for distant lanterns, and people have vanished into the forests chasing after these phantom lights. Travelers should take care not to be lead off their paths to their deaths by demon fire.","Onibi are found all over Japan. In some areas, they manifest the faces and even voices of the victims whose life force they have drained. In Okinawa, onibi are said to take the shape of a small bird.",Onibi are born out of the dead bodies of humans and animals. It is not known what causes onibi to develop; sometimes they appear and sometimes they do not. Intense grudges and malice are also able to create onibi. They are considered to be identical to the will-o’-the-wisps of English folklore.,,,
